Project,Type,Repository,SnapshotPath,Commit,Release
"Quinidine-Dextromethorphan-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Quinidine-Dextromethorphan-DDI","Quinidine-Dextromethorphan-DDI.json","Pending",""
"Quinidine-Digoxin-DDI","Interaction project","https://github.com/SRuedesh/Quinidine-Digoxin-DDI","Quinidine-Digoxin-DDI.json","60368a8137280bbb495c257874445f1fea102b8b",""
"Quinidine-Mexiletine-DDGI","Interaction project","https://github.com/Open-Systems-Pharmacology/Quinidine-Mexiletine-DDGI","Quinidine-Mexiletine-DDGI.json","Pending",""
"Quinidine-Paroxetine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Quinidine-Paroxetine-DDI","Quinidine-Paroxetine-DDI.json","Pending",""
"Carbamazepine-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Carbamazepine-Quinidine-DDI","Carbamazepine-Quinidine-DDI.json","Pending",""
"Cimetidine-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Cimetidine-Quinidine-DDI","Cimetidine-Quinidine-DDI.json","Pending",""
"Fluvoxamine-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Quinidine-DDI","Fluvoxamine-Quinidine-DDI.json","Pending",""
"Omeprazole-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Omeprazole-Quinidine-DDI","Omeprazole-Quinidine-DDI.json","Pending",""
"Rifampicin-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Rifampicin-Quinidine-DDI","Rifampicin-Quinidine-DDI.json","Pending",""
"Verapamil-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Verapamil-Quinidine-DDI","Verapamil-Quinidine-DDI.json","Pending",""
"Paroxetine-Alprazolam-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Paroxetine-Alprazolam-DDI","Paroxetine-Alprazolam-DDI.json","Pending",""
"Fluvoxamine-Atomoxetine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Atomoxetine-DDI","Fluvoxamine-Atomoxetine-DDI.json","Pending",""
"Paroxetine-Atomoxetine-DDGI","Interaction project","https://github.com/Open-Systems-Pharmacology/Paroxetine-Atomoxetine-DDGI","Paroxetine-Atomoxetine-DDGI.json","Pending",""
"Clarithromycin-Clomiphene-DDGI","Interaction project","https://github.com/Open-Systems-Pharmacology/Clarithromycin-Clomiphene-DDGI","Clarithromycin-Clomiphene-DDGI.json","Pending",""
"Paroxetine-Clomiphene-DDGI","Interaction project","https://github.com/Open-Systems-Pharmacology/Paroxetine-Clomiphene-DDGI","Paroxetine-Clomiphene-DDGI.json","Pending",""
"Atomoxetine-Desipramine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Atomoxetine-Desipramine-DDI","Atomoxetine-Desipramine-DDI.json","Pending",""
"Paroxetine-Desipramine-DDGI","Interaction project","https://github.com/SRuedesh/Paroxetine-Desipramine-DDGI","Paroxetine-Desipramine-DDGI.json","09a7393f648fbe8634f0ce7ef0310696c00f8cee",""
"Quinidine-Desipramine-DDI","Interaction project","https://github.com/SRuedesh/Quinidine-Desipramine-DDI","Quinidine-Desipramine-DDI.json","c2643acb37a70be0bdfa9ee9a26f6a926fc5d075",""
"Paroxetine-Dextromethorphan-DDGI","Interaction project","https://github.com/Open-Systems-Pharmacology/Paroxetine-Dextromethorphan-DDGI","Paroxetine-Dextromethorphan-DDGI.json","Pending",""
"Cimetidine-Metoprolol-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Cimetidine-Metoprolol-DDI","Cimetidine-Metoprolol-DDI-.json","Pending",""
"Paroxetine-Metoprolol-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Paroxetine-Metoprolol-DDI","Paroxetine-Metoprolol-DDI.json","Pending",""
"Quinidine-Metoprolol-DDGI","Interaction project","https://github.com/Open-Systems-Pharmacology/Quinidine-Metoprolol-DDGI","Quinidine-Metoprolol-DDGI_v1.1.json","Pending","https://github.com/Open-Systems-Pharmacology/Quinidine-Metoprolol-DDGI/releases/tag/v1.1"
"Rifampicin-Metoprolol-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Rifampicin-Metoprolol-DDI","Rifampicin-Metoprolol-DDI.json","Pending",""
"Atomoxetine-Midazolam-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Atomoxetine-Midazolam-DDI","Atomoxetine-Midazolam-DDI.json","Pending",""
"Itraconazole-Paroxetine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Itraconazole-Paroxetine-DDI","Itraconazole-Paroxetine-DDI.json","Pending",""
"Erythromycin-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Erythromycin-Quinidine-DDI","Erythromycin-Quinidine-DDI.json","Pending",""
"Itraconazole-Quinidine-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Itraconazole-Quinidine-DDI","Itraconazole-Quinidine-DDI.json","Pending",""
"Ketoconazole-Risperidone-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Ketoconazole-Risperidone-DDI","Ketoconazole-Risperidone-DDI.json","Pending",""
"Rifampicin-Risperidone-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Rifampicin-Risperidone-DDI","Rifampicin-Risperidone-DDI.json","Pending",""
"Verapamil-Risperidone-DDI","Interaction project","https://github.com/Open-Systems-Pharmacology/Verapamil-Risperidone-DDI","Verapamil-Risperidone-DDI.json","Pending",""
"Clomiphene-DGI","Parent model","https://github.com/SRuedesh/Clomiphene-Model","Clomiphene-Model.json","f04a04817bd199810af30a048f994d15719dce10","https://github.com/Open-Systems-Pharmacology/Clomiphene-Model/releases/tag/v1.0"
"Atomoxetine-DGI","Parent model","https://github.com/SRuedesh/Atomoxetine-Model","Atomoxetine-model.json","bd042057586321df679d53ac1ef006dfcfeaa88a","https://github.com/Open-Systems-Pharmacology/Atomoxetine-Model/releases/tag/v1.0"
"Desipramine-DGI","Parent model","https://github.com/SRuedesh/Desipramine-Model","Desipramine-Model.json","5c3286b6d4f1aeb764488710e18aa5beeaabd4d8","https://github.com/Open-Systems-Pharmacology/Desipramine-Model/releases/tag/v1.0"
"Dextromethorphan-DGI","Parent model","https://github.com/Open-Systems-Pharmacology/Dextromethorphan-Model","Dextromethorphan-model.json","Pending",""
"Metoprolol-DGI","Parent model","https://github.com/SRuedesh/Metoprolol-Model","Metoprolol-Model.json","c16fb746829e4e38707947bedbfe489048c2bc38",""
"Mexiletine-DGI","Parent model","https://github.com/SRuedesh/Mexiletine-Model","Mexiletine-Model.json","23d4d2b1d71b3cdabe72b40dc12f90b05dcbd31c","https://github.com/Open-Systems-Pharmacology/Mexiletine-Model/releases/tag/v2.0"
"Paroxetine-DGI","Parent model","https://github.com/SRuedesh/Paroxetine-Model","Paroxetine-Model.json","900025e20f5c0cf97ad653b0cf458e452f9b356e","https://github.com/Open-Systems-Pharmacology/Paroxetine-Model/releases/tag/v1.0"
"Risperidone-DGI","Parent model","https://github.com/SRuedesh/Risperidone-Model","Risperidone-model.json","b2c802af803ee0fcf76af56f19dd9ff6df7ddae9","https://github.com/Open-Systems-Pharmacology/Risperidone-Model/releases/tag/v1.0"
