DataID,StudyKey,BibliographyKey
16940,"Capon 1996","Capon 1996"
16942,"Capon 1996","Capon 1996"
16946,"Steiness 1980","Steiness 1980"
16948,"Ochs 1981","Ochs 1981"
16950,"Abolfathi 1993","Abolfathi 1993"
16952,"Abolfathi 1993","Abolfathi 1993"
16954,"Schoedel 2012","Schoedel 2012"
16956,"Andreasen 2007","Andreasen 2007"
16958,"Andreasen 2007","Andreasen 2007"
16960,"Kolb 1984","Kolb 1984"
16962,"Hardy 1988","Hardy 1988"
16964,"Damkier 1999a","Damkier 1999a"
16966,"Damkier 1999a","Damkier 1999a"
16968,"Ching 1991","Ching 1991"
16970,"Ching 1991","Ching 1991"
16972,"Damkier 1999","Damkier 1999"
16974,"Damkier 1999","Damkier 1999"
16976,"Edwards 1987","Edwards 1987"
16978,"Edwards 1987","Edwards 1987"
16980,"Calvo 2004","Calvo 2004"
16986,"Todor 2017","Todor 2017"
16988,"Jung 2020","Jung 2020"
16990,"Jung 2020","Jung 2020"
16992,"Jung 2020","Jung 2020"
16994,"Todor 2015","Todor 2015"
16996,"Belle 2002","Belle 2002"
16998,"Mürdter 2016","Mürdter 2016"
17000,"Mürdter 2016","Mürdter 2016"
17002,"Mürdter 2016","Mürdter 2016"
17004,"Mürdter 2016","Mürdter 2016"
17006,"Mürdter 2016","Mürdter 2016"
17008,"Mürdter 2016","Mürdter 2016"
17010,"Mürdter 2016","Mürdter 2016"
17012,"Mürdter 2016","Mürdter 2016"
17014,"Mürdter 2016","Mürdter 2016"
17016,"Mürdter 2016","Mürdter 2016"
17018,"Mürdter 2016","Mürdter 2016"
17020,"Mürdter 2016","Mürdter 2016"
17022,"Mürdter 2016","Mürdter 2016"
17024,"Mürdter 2016","Mürdter 2016"
17026,"Mürdter 2016","Mürdter 2016"
17028,"Mürdter 2016","Mürdter 2016"
17030,"Mürdter 2016","Mürdter 2016"
17032,"Mürdter 2016","Mürdter 2016"
17034,"Mürdter 2016","Mürdter 2016"
17036,"Mürdter 2016","Mürdter 2016"
17038,"Mürdter 2016","Mürdter 2016"
17040,"Mürdter 2016","Mürdter 2016"
17042,"Mürdter 2016","Mürdter 2016"
17044,"Mürdter 2016","Mürdter 2016"
17046,"Mürdter 2016","Mürdter 2016"
17048,"Mürdter 2016","Mürdter 2016"
17050,"Mürdter 2016","Mürdter 2016"
17052,"Mürdter 2016","Mürdter 2016"
17054,"Mürdter 2016","Mürdter 2016"
17056,"Mürdter 2016","Mürdter 2016"
17058,"Mürdter 2016","Mürdter 2016"
17060,"Mürdter 2016","Mürdter 2016"
17062,"Mürdter 2016","Mürdter 2016"
17064,"Mürdter 2016","Mürdter 2016"
17066,"Mürdter 2016","Mürdter 2016"
17068,"Mürdter 2016","Mürdter 2016"
17070,"Mürdter 2016","Mürdter 2016"
17072,"Mürdter 2016","Mürdter 2016"
17074,"Mürdter 2016","Mürdter 2016"
17076,"Mürdter 2016","Mürdter 2016"
17078,"Sauer 2004","Sauer 2004"
17082,"Nichols 2009","Nichols 2009"
17084,"Nichols 2009","Nichols 2009"
17086,"Brøsen 1993","Brøsen 1993"
17088,"Brøsen 1993","Brøsen 1993"
17090,"Brøsen 1993","Brøsen 1993"
17092,"Alderman 1997","Alderman 1997"
17093,"Alderman 1997","Alderman 1997"
17094,"Alderman 1997","Alderman 1997"
17096,"Brøsen 1989","Brøsen 1989"
17098,"Storelli 2018","Storelli 2018"
17100,"Storelli 2018","Storelli 2018"
17102,"Storelli 2018","Storelli 2018"
17104,"Storelli 2018","Storelli 2018"
17106,"Schoedel 2012","Schoedel 2012"
17108,"Chellingsworth 1988","Chellingsworth 1988"
17110,"Chellingsworth 1988","Chellingsworth 1988"
17112,"Toon 1988","Toon 1988"
17114,"Kirch 1982","Kirch 1982"
17116,"Stout 2011","Stout 2011"
17118,"Stout 2011","Stout 2011"
17120,"Parker 2011","Parker 2011"
17122,"Parker 2011","Parker 2011"
17124,"Parker 2011","Parker 2011"
17126,"Parker 2011","Parker 2011"
17128,"Parker 2011","Parker 2011"
17130,"Parker 2011","Parker 2011"
17132,"Hemeryck 2000","Hemeryck 2000"
17134,"Hemeryck 2000","Hemeryck 2000"
17136,"Leemann 1993","Leemann 1993"
17138,"Leemann 1993","Leemann 1993"
17140,"Leemann 1993","Leemann 1993"
17142,"Leemann 1993","Leemann 1993"
17144,"Johnson 1996","Johnson 1996"
17146,"Johnson 1996","Johnson 1996"
17148,"Johnson 1996","Johnson 1996"
17150,"Johnson 1996","Johnson 1996"
17152,"Bennett 1982","Bennett 1982"
17154,"Sauer 2004","Sauer 2004"
17156,"Sauer 2004","Sauer 2004"
17158,"Yasui-Furukori 2007","Yasui-Furukori 2007"
17160,"Damkier 1999b","Damkier 1999b"
17162,"Kaukonen 1997","Kaukonen 1997"
17164,"Damkier 1999b","Damkier 1999b"
17166,"Mahatthanatrakul 2012","Mahatthanatrakul 2012"
17168,"Mahatthanatrakul 2012","Mahatthanatrakul 2012"
17170,"Kim 2008","Kim 2008"
17172,"Kim 2008","Kim 2008"
17174,"Mahatthanatrakul 2007","Mahatthanatrakul 2007"
17176,"Nakagami 2005","Nakagami 2005"
17178,"Nakagami 2005","Nakagami 2005"
